Vzorek,Plesne,Certovo,horizont,znaceni,cas,ID,CPcr,Dwpuvodni,DWovlhceni,pH,DOC,TN,DOC2,TN2,Cmic,Nmic,Pmic,CCO2,CCO2c,deltaCO2,CO2atm,CCO2.s,CCO2.g,CCO2.g2,Gl,Glcorrected,DOCatm,Cmicatm,Cmicg,CUE,Cmicg2,DOCg,DOCg2,Glfound,NH4,NO3,PO4,DOP,DON,NH42,NO32,DON2,PO42,BG,CELL,PH,ALA,CHIT,PHO,PER,bg,cell,phos,ala,chit,Sorption
46,1,0.0,O,JO,0,11,73.831684227,0.405213270,0.332142025,3.120000000,56.260103578,2.840021547,80.117030793,5.700458670,213.747108511,24.708434594,6.744277353,42.247058792,,,,,,,287.473250713,206.822630226,0.010772890,0.010793164,,0.598051739,,,,,0.676507724,0.120559350,0.036164120,0.057196293,2.042954473,1.233244068,0.244127311,4.223087291,0.627628910,0.024037774,0.006129290,0.016280142,0.035502444,0.001734639,0.103378727,0.035354939,0.527275008,0.056997598,1.056050246,0.015892935,0.272086017,0.810900043
47,0.75,0.3,O,JO,0,12,69.834367248,0.400476476,0.328259407,3.035000000,51.903215014,4.610979608,78.633933479,7.609187257,206.193254241,23.263751680,5.170964225,40.266142669,,,,,,,290.873454296,207.825447176,0.010774188,0.010795181,,0.572932220,,,,,1.956548750,0.221791479,0.032952352,0.049498616,2.432639379,2.569881917,0.323554628,4.715750713,0.561017828,0.030054618,0.004225977,0.021693278,0.028984256,0.002389791,0.125095730,0.069269105,0.728127203,0.077148348,1.464962245,0.007769251,0.357132250,0.964184714
48,0.5,0.5,O,JO,0,13,65.837050269,0.395739682,0.324376789,2.950000000,47.929736222,5.552953140,72.838920069,7.951116830,176.889570515,21.522190595,4.170895790,34.990590922,,,,,,,294.355055142,208.852270500,0.010774234,0.010796721,,0.567764262,,,,,2.516878129,0.376277461,0.035934882,0.049071602,2.659797550,3.080340791,0.593242126,4.277533914,0.332981181,0.030577243,0.007402226,0.016743726,0.028961792,0.001841142,0.094331528,0.149339675,0.730097870,0.080246094,1.115170062,0.000933280,0.256195000,1.117469386
49,0.25,0.8,O,JO,0,14,61.839733290,0.391002888,0.320494171,2.865000000,34.325374482,5.241615487,68.195688284,9.403305182,168.168738317,19.928183119,4.425016114,35.974489778,,,,,,,297.921011508,209.903972670,0.010775125,0.010789634,,0.546559155,,,,,3.349128495,0.394198526,0.033952250,0.035600667,1.498288466,4.707814263,0.573703618,4.121787301,0.296573264,0.033552401,0.005208567,0.020513593,0.021584241,0.001797923,0.113831854,0.118421240,0.794517451,0.090820829,1.367532356,0.000000000,0.206143886,1.038637269
50,0,1.0,O,JO,0,15,57.842416311,0.386266094,0.316611553,2.780000000,41.084235341,7.788011603,64.012752430,10.321192259,143.242693200,17.268868269,3.800513693,30.015208194,,,,,,,301.574426756,210.981468958,0.010775268,0.010797184,,0.589324569,,,,,4.697763407,0.746213498,0.049666207,0.033229462,2.344034697,4.810634774,0.688951194,4.821606292,0.336030681,0.041562654,0.012220809,0.016525073,0.022193258,0.001477658,0.110658265,0.184988939,1.049577576,0.153452228,1.186626279,0.000000000,0.157276054,1.069294203
51,1,0.0,O,JO,0,11,73.831684227,0.416452442,0.341354461,3.250000000,42.570042115,2.980840489,66.848554208,5.958126259,250.545740024,31.642848688,5.611850705,37.518701237,,,,,,,279.714954716,201.240924170,0.010767171,0.010781362,,0.767220905,,,,,1.250006274,0.135288401,0.032634150,0.051787199,1.595545814,2.166008418,0.098277509,3.693840332,0.473047846,0.084577098,0.033308265,0.031039778,0.034210003,0.002363075,0.089781112,0.167765648,1.716137974,0.358086198,1.993754149,0.015551003,0.359554276,1.016739459
52,0.75,0.3,O,JO,0,12,69.834367248,0.397798515,0.326064357,3.135000000,53.478355265,3.954654285,67.649808578,6.288306385,246.971209433,31.850011341,6.594627769,35.900952890,,,,,,,292.831600727,209.224518324,0.010768873,0.010781591,,0.697230948,,,,,1.770515284,0.171184836,0.031193638,0.038824501,2.012954166,2.250066324,0.242110522,3.796129538,0.684047387,0.076797786,0.016568398,0.030479335,0.030521369,0.001827221,0.091328992,0.196338835,1.697645850,0.413781134,2.037117634,0.005084010,0.272473815,0.859075225
53,0.5,0.5,O,JO,0,13,65.837050269,0.379144588,0.310774253,3.020000000,57.181189041,4.700447358,75.250557084,7.471381230,242.933941320,32.469846520,6.203695373,38.543819090,,,,,,,307.238925613,217.993698695,0.010678035,0.010815110,,0.679041594,,,,,2.029882180,0.217733459,0.024728098,0.034952418,2.452831720,2.438859724,0.314197649,4.718323857,0.696849200,0.082628169,0.026913916,0.038936396,0.027711578,0.001814016,0.169143952,0.129185643,1.946181619,0.336024077,2.739835211,0.001195329,0.233741211,0.815279605
54,0.25,0.8,O,JO,0,14,61.839733290,0.360490662,0.295484149,2.905000000,46.670607209,4.706946161,78.923594145,9.242625235,226.214748569,29.402862988,6.863051138,39.651433794,,,,,,,323.137291534,227.670417967,0.010765658,0.010791084,,0.648992182,,,,,2.047958203,0.209192239,0.020653155,0.033145308,2.449795720,3.009533922,0.406789527,5.826301786,0.721942105,0.038175052,0.008316562,0.020342173,0.020772070,0.000909445,0.141419536,0.152925681,0.976099077,0.190663743,1.538902616,0.000000000,0.126006261,0.648856247
55,0,1.0,O,JO,0,15,57.842416311,0.341836735,0.280194045,2.790000000,64.105389489,7.106194893,84.505258889,10.256479316,187.897602089,23.742086143,6.233228265,38.477982534,,,,,,,340.770795463,238.403248506,0.010778947,0.010785937,,0.633405210,,,,,2.811857799,0.275122887,0.027657386,0.037181542,4.019214207,2.694845658,0.412684330,7.148949329,0.767120582,0.028147424,0.009778176,0.019547114,0.022134798,0.000964038,0.159119354,0.128397035,0.818664036,0.135653514,1.647058520,0.000000000,0.164284971,0.732067926
56,1,0.0,O,JO,0,11,73.831684227,0.301181102,0.246869756,3.050000000,67.126247996,3.878830844,90.810722969,6.938554851,293.509028905,34.413474148,9.612820648,49.151679541,,,,,,,386.770534693,278.262061185,0.010768014,0.010786401,,0.594465164,,,,,0.869704683,0.131843529,0.038715299,0.072852776,2.877282632,1.341180228,0.236508787,5.360865837,0.923174983,0.009191131,0.002372831,0.013389546,0.033621897,0.001454369,0.086538803,0.146412695,0.265843646,0.013404318,1.183114875,0.014150434,0.337703416,0.635717561
57,0.75,0.3,O,JO,0,12,69.834367248,0.323881372,0.265476535,3.047500000,41.721276770,4.652858832,88.085595920,8.729000308,264.733455634,30.746428854,6.977992024,49.332525470,,,,,,,359.662474956,256.974342575,0.010766439,0.010791831,,0.574060400,,,,,2.612838816,0.130668827,0.019460439,0.043269581,1.909351188,3.607821889,0.288761977,4.832416442,0.864574164,0.012591508,0.002503608,0.016533066,0.028107666,0.002137614,0.079746827,0.096277489,0.347227058,0.025646081,1.301144967,0.000000000,0.325090691,0.797761357
58,0.5,0.5,O,JO,0,13,65.837050269,0.346581642,0.284083314,3.045000000,58.069242821,8.023980414,85.041919057,10.688925327,204.964986437,26.190907246,5.412221244,45.019627423,,,,,,,336.105441596,238.475213449,0.010765044,0.010793331,,0.649175561,,,,,5.009538648,0.163567542,0.031143229,0.044993887,2.850874224,5.059957317,0.285426618,5.343541392,0.722399332,0.026952326,0.006598644,0.023215991,0.027355300,0.003565731,0.081568541,0.083945147,0.731170901,0.071553631,1.840825877,0.000000000,0.595519976,0.968564276
59,0.25,0.8,O,JO,0,14,61.839733290,0.369281913,0.302690092,3.042500000,51.528783691,9.339403937,79.414202640,12.418267415,190.652285374,22.826483722,5.798348599,35.507213609,,,,,,,315.444575100,222.250418444,0.010769448,0.010792091,,0.687120601,,,,,7.201189669,0.172849303,0.038936190,0.042445293,1.965364965,7.107022563,0.269767535,5.041477317,0.758281024,0.020665934,0.003368213,0.017343475,0.020402623,0.002117879,0.070818802,0.056320468,0.513650030,0.049415207,1.253214978,0.000000000,0.333380864,0.832797853
60,0,1.0,O,JO,0,15,57.842416311,0.391982183,0.321296871,3.040000000,47.119352689,9.927090710,77.392815313,13.405254672,180.071984683,21.486795795,4.456846378,34.576346291,,,,,,,297.176711500,207.904827365,0.010767069,0.010789766,,0.640175432,,,,,7.561699289,0.199494858,0.040299223,0.036252561,2.165896563,8.250526745,0.300353060,4.854374868,0.689154862,0.034517355,0.011564974,0.019556732,0.021538124,0.002743815,0.061314132,0.082552683,0.832903759,0.139759763,1.417640833,0.000000000,0.394786488,0.863454787
61,1,0.0,A,JO,0,16,73.831684227,0.334685598,0.301518557,2.620000000,47.283002695,3.085854980,51.584750713,4.564570268,142.150641148,17.011203167,7.537288560,36.642093884,,,,,,,111.202823577,80.004871423,0.010785042,0.010803620,,0.441842607,,,,,0.316740744,0.165235455,0.041871788,0.045774870,2.603878781,0.324000372,0.190801973,4.049767923,0.379718082,0.076141536,0.015084694,0.008331349,0.023201372,0.001529418,0.135790277,0.516690777,1.001035117,0.204864965,0.600424553,0.008610830,0.182103093,0.618199313
62,0.75,0.3,A,JO,0,17,69.834367248,0.344686655,0.310528518,2.625000000,34.220350285,1.933453906,51.757347673,4.652793671,116.514752248,14.090319734,8.532595714,33.601985299,,,,,,,107.976282144,77.147703888,0.010777345,0.010806138,,0.504997188,,,,,0.189863036,0.152625976,0.029530829,0.033676782,1.590964895,0.394590248,0.243190184,4.015013239,0.629573651,0.035345927,0.014510533,0.010267817,0.024580291,0.003411794,0.113602493,0.724555608,0.912357995,0.182474097,0.692067762,0.000000000,0.185908521,0.460535079
63,0.5,0.5,A,JO,0,18,65.837050269,0.354687712,0.319538480,2.630000000,43.027032896,2.688455408,45.756803957,3.853255435,116.611657134,15.245935651,5.327380273,33.300742202,,,,,,,104.931696970,74.451662293,0.010779823,0.010805342,,0.395612737,,,,,0.310047452,0.218686207,0.031224401,0.031273724,2.159721749,0.405801780,0.255990187,3.191463468,0.292389924,0.117492472,0.023455818,0.015682621,0.023065428,0.003688541,0.146167711,0.983481594,1.586615621,0.362499571,1.261644209,0.026977391,0.562941406,0.666374495
64,0.25,0.8,A,JO,0,19,61.839733290,0.364688769,0.328548441,2.635000000,38.907294336,2.740734219,47.279242976,4.494930125,98.339660300,12.872576111,5.787501953,35.061773569,,,,,,,102.054098401,71.903490705,0.010782697,0.010811386,,0.394861787,,,,,0.390617901,0.182708373,0.025257625,0.028529332,2.167407945,0.564563803,0.275040190,3.655326131,0.225195973,0.038890115,0.018394157,0.013088374,0.023201184,0.002930205,0.134942452,0.968327103,0.910176733,0.194563206,0.890278012,0.000965865,0.406018745,0.543746758
65,0,1.0,A,JO,0,20,57.842416311,0.374689826,0.337558402,2.640000000,30.962169268,2.458241708,45.239445976,4.273456188,95.295554342,13.011098771,4.940455806,34.932097959,,,,,,,99.330115038,69.491348481,0.010785854,0.010807858,,0.367010435,,,,,0.576842577,0.196439426,0.022479039,0.036161329,1.684959705,0.672137196,0.293919055,3.307399937,0.204786117,0.038194467,0.020086766,0.013779128,0.023287842,0.002948723,0.130864405,1.034200333,0.890942786,0.215166331,0.927882325,0.005073916,0.403347358,0.521848948
66,1,0.0,A,JO,0,16,73.831684227,0.298994975,0.269364842,2.730000000,24.841180067,2.741400194,41.005723678,4.592186493,117.484062445,16.442836485,8.337702154,41.395052978,,,,,,,124.476953387,89.554944114,0.010783180,0.010812163,,0.361259577,,,,,0.646032930,0.206953125,0.051544976,0.040739206,1.888414140,0.974790732,0.322751480,3.294644282,0.394970609,0.080848508,0.013930504,0.011628566,0.023582741,0.001406077,0.313666551,0.720699009,1.082623789,0.178299729,0.915513211,0.015179593,0.165122999,0.692651868
67,0.75,0.3,A,JO,0,17,69.834367248,0.325556715,0.293294338,2.692500000,28.367350723,3.009330367,43.135857229,4.797698343,115.508336767,15.134384932,6.746213603,35.257623786,,,,,,,114.321044022,81.680956941,0.010783850,0.010799590,,0.380937728,,,,,0.697970927,0.323675499,0.046899122,0.035327376,1.987683941,0.866055046,0.400578851,3.531064446,0.324077181,0.032557557,0.010764665,0.011239858,0.022937656,0.002834861,0.325564124,0.798289778,0.940278184,0.139375734,0.877541363,0.012459323,0.145326862,0.670754057
68,0.5,0.5,A,JO,0,18,65.837050269,0.352118455,0.317223833,2.655000000,28.930997704,3.295340219,39.605976584,4.655395113,91.574912823,11.685064234,7.062340236,35.639903066,,,,,,,105.697338503,74.994904101,0.010783499,0.010798429,,0.341828969,,,,,0.748823341,0.357761152,0.038984481,0.031837165,2.188755725,1.012231552,0.449113999,3.194049561,0.268986660,0.051122073,0.009482446,0.008626779,0.023754964,0.001229808,0.190408768,1.015133352,0.655700355,0.100166576,0.561927390,0.000000000,0.105849786,0.486812452
69,0.25,0.8,A,JO,0,19,61.839733290,0.378680195,0.341153329,2.617500000,24.827131170,2.913553845,39.018716503,4.688717940,110.100947633,9.819317731,4.072237332,27.690957085,,,,,,,98.283417007,69.246809995,0.010780631,0.010798380,,0.359778650,,,,,0.681652970,0.349404684,0.032085505,0.025423576,1.882496192,0.891016814,0.538961955,3.258739171,0.250119146,0.021965438,0.007772788,0.007733704,0.023845575,0.001254091,0.145883133,1.134693743,0.549345051,0.087267601,0.520089497,0.025242679,0.113574159,0.670754057
70,0,1.0,A,JO,0,20,57.842416311,0.405241935,0.365082825,2.580000000,22.834917370,3.056907071,40.574360592,4.791966506,62.342848887,7.404380070,3.192360837,22.460774132,,,,,,,91.841392243,64.252238013,0.010781964,0.010796525,,0.393973532,,,,,0.752325056,0.504417527,0.023526051,0.020299767,1.800164488,0.820884130,0.519276338,3.451806038,0.202660276,0.027171608,0.009187173,0.008874085,0.024114324,0.001720924,0.138698858,1.218370509,0.619665292,0.098357999,0.553439002,0.001278613,0.126168093,0.631337999
71,1,0.0,A,JO,0,16,73.831684227,0.521870287,0.470153411,2.850000000,13.426446432,1.185619961,24.646202197,2.495578579,80.622363717,10.096481192,3.974788964,20.408823655,,,,,,,71.316540734,51.308685231,0.010777268,0.010802273,,0.471199008,,,,,0.111737793,0.076667915,0.017169562,0.014387293,0.997214253,0.286732941,0.079856085,2.128989553,0.417230671,0.088114736,0.018057395,0.010898209,0.022738764,0.001004271,0.079699656,0.756992848,0.695770291,0.142757483,0.498906573,0.010157822,0.076860169,0.626958437
72,0.75,0.3,A,JO,0,17,69.834367248,0.492713199,0.443885765,2.767500000,14.586758133,1.348724294,25.657082272,2.672845927,74.008200660,8.728316505,3.949772265,20.991339552,,,,,,,75.536810543,53.970106923,0.010773906,0.010804286,,0.448330704,,,,,0.203896561,0.116902839,0.020149643,0.020124054,1.027924894,0.292766303,0.172379427,2.207700198,0.141132240,0.024165142,0.011154985,0.008575425,0.027823647,0.001687260,0.077897410,0.740351198,0.466005040,0.100373819,0.432881596,0.004428059,0.057148061,0.749586174
73,0.5,0.5,A,JO,0,18,65.837050269,0.463556111,0.417618118,2.685000000,15.745494219,1.599003947,29.641212238,2.961973001,66.456916752,7.795817225,2.857075352,21.494575135,,,,,,,80.287979523,56.966328671,0.010777513,0.010803062,,0.417974244,,,,,0.221848872,0.133998086,0.017551140,0.012497178,1.243156989,0.375787150,0.224925359,2.361260492,0.184925231,0.063862651,0.012359559,0.010697327,0.024050009,0.001428370,0.092959034,0.812438786,0.551253432,0.111119780,0.528284539,0.000000000,0.065181994,0.771483984
74,0.25,0.8,A,JO,0,19,61.839733290,0.434399023,0.391350471,2.602500000,20.110766717,2.041923643,30.460603655,3.152027546,74.583750260,7.700416792,3.191775938,24.290320068,,,,,,,85.676950356,60.364766335,0.010773789,0.010818675,,0.367300059,,,,,0.337052824,0.191507286,0.028960100,0.026492006,1.513363532,0.426544483,0.255707824,2.469775239,0.176637770,0.033695860,0.012077918,0.009838062,0.022942475,0.001271827,0.083302086,0.867216550,0.742596802,0.130375394,0.592418912,0.005959560,0.107222969,0.740827050
75,0,1.0,A,JO,0,20,57.842416311,0.405241935,0.365082825,2.520000000,23.359475263,2.753865533,32.062134178,3.401494625,60.341859849,7.230766595,2.776025419,24.490023769,,,,,,,91.841392243,64.252238013,0.010777180,0.010800677,,0.326527723,,,,,0.431687558,0.273714937,0.040418816,0.019217333,2.048463038,0.461144499,0.367951080,2.572399047,0.193784643,0.025662536,0.006989926,0.008996645,0.022131821,0.001504613,0.124564804,0.824531731,0.590378180,0.059110526,0.561280150,0.001593089,0.082414434,0.745206612
76,1,0.0,A,JO,0,16,73.831684227,0.345600000,0.311351351,2.730000000,29.690615170,2.834802398,49.317240405,5.011883873,151.384260008,17.789872313,12.194735230,41.770713408,,,,,,,107.690924625,77.478235721,0.010776999,0.010803616,,0.457553049,,,,,0.214578872,0.122878499,0.032460289,0.042893972,2.497345026,0.522386457,0.213661869,4.275835547,0.477003321,0.035013895,0.004956111,0.013768693,0.021071149,0.001876592,0.086583686,0.361436550,0.438413266,0.035766741,0.941090737,0.000000000,0.233050706,0.508710262
77,0.75,0.3,A,JO,0,17,69.834367248,0.350407349,0.315682296,2.690000000,29.362407849,2.863742579,47.894070442,4.790276757,172.559028853,20.249127975,8.242379753,40.210875685,,,,,,,106.213478821,75.888202949,0.010776977,0.010807662,,0.375657545,,,,,0.347750668,0.129332498,0.033549219,0.038579356,2.386659412,0.592095632,0.233341150,3.964839974,0.414004062,0.017261826,0.006354675,0.008741976,0.026316891,0.001964574,0.097082363,0.598076230,0.420685790,0.066134035,0.593760331,0.002722819,0.132467321,0.661994933
78,0.5,0.5,A,JO,0,18,65.837050269,0.355214698,0.320013242,2.650000000,20.774275665,1.960237408,45.436310211,4.466713811,120.795438317,14.104519853,5.406768749,37.808015312,,,,,,,104.776023466,74.341208050,0.010777496,0.010813415,,0.369168009,,,,,0.403266682,0.150109777,0.018969186,0.028568329,1.406860949,0.664378884,0.236874566,3.565460361,0.256516380,0.077115525,0.013158718,0.013729570,0.022788482,0.001596513,0.129298769,1.148166908,0.882501384,0.155590263,0.877562011,0.000000000,0.136655998,0.740827050
79,0.25,0.8,A,JO,0,19,61.839733290,0.360022047,0.324344187,2.610000000,30.554963325,2.721243647,44.227549016,4.225734544,103.693773259,12.530638733,8.507707868,33.993398054,,,,,,,103.376956592,72.835526979,0.010777803,0.010808899,,0.376869108,,,,,0.501313576,0.202462024,0.029467574,0.028073838,2.017468047,0.712725008,0.323499103,3.189510433,0.178162838,0.039181086,0.018524979,0.012459321,0.022373702,0.001703972,0.137088119,1.349916560,1.058886636,0.273526519,0.945469015,0.006653410,0.160687007,0.429878145
80,0,1.0,A,JO,0,20,57.842416311,0.364829396,0.328675132,2.570000000,28.556349283,2.733162749,41.360469731,4.173526813,93.857914021,9.981891270,3.907956486,30.198501865,,,,,,,102.014760666,71.369526562,0.010778959,0.010833208,,0.339361982,,,,,0.566373084,0.245399381,0.027605669,0.022857647,1.921390284,0.764140372,0.383517970,3.025868470,0.200462180,0.024977718,0.008692040,0.009850600,0.020701060,0.001025384,0.144011942,1.663436831,0.560943372,0.073282711,0.613074646,0.000000000,0.059342432,0.609440189
1,1,0.0,O,NE,1,1,73.831684227,0.405213270,0.332142025,3.370000000,55.282421238,3.534151137,72.291611044,6.252313184,282.818150780,36.875258391,4.081951313,20.048980896,30.537966733,-24.332138519,0.010784759,20.048980896,0.000000000,0.000000000,0.000000000,0.000000000,0.010771100,0.010786396,,0.675270353,,,,,2.221644490,0.221347826,0.019929152,0.027575900,1.091158821,2.390126718,0.312465766,3.549720700,0.359341941,0.031501405,0.008814239,0.023017844,0.035862705,0.000887952,0.066426645,0.080437938,0.762227969,0.095517756,1.490037627,0.015232309,0.184441386,1.025498583
2,0.75,0.3,O,NE,1,2,69.834367248,0.390866474,0.320382356,3.322500000,43.303535080,4.443633189,63.290773577,6.131581080,235.074690329,32.127030173,4.174107027,20.179789552,32.456614516,-25.659926134,0.010769673,20.179789552,0.000000000,0.000000000,0.000000000,0.000000000,0.010769684,0.010788652,,0.591520112,,,,,3.216624099,0.180013317,0.015722254,0.025727590,1.046995772,3.150678627,0.268683243,2.712219210,0.569754250,0.032733602,0.006304714,0.024374235,0.029741597,0.001506578,0.096937607,0.020847609,0.738215998,0.129401629,1.633411154,0.000000000,0.230766373,0.994841649
3,0.5,0.5,O,NE,1,3,65.837050269,0.376519679,0.308622687,3.275000000,46.626271019,5.824847952,68.200621997,7.884249884,214.916488659,30.166955888,5.833119167,19.797133874,31.842954832,-25.899886141,0.010766567,19.797133874,0.000000000,0.000000000,0.000000000,0.000000000,0.010770196,0.010796544,,0.593668352,,,,,4.403067452,0.215088388,0.021447902,0.023863740,1.206692112,4.561261492,0.302973966,3.020014426,0.565215597,0.019255870,0.004946357,0.031676934,0.031360040,0.001604704,0.097584222,0.074926560,0.477487452,0.042886305,2.204147891,0.002761614,0.283100745,0.806520481
4,0.25,0.8,O,NE,1,4,61.839733290,0.362172883,0.296863019,3.227500000,43.060031354,7.284234022,65.594568318,8.864029550,200.723765810,28.415136792,3.648604256,18.400956017,29.598901059,-26.044765976,0.010764076,18.400956017,0.000000000,0.000000000,0.000000000,0.000000000,0.010770891,0.010795054,,0.554015883,,,,,4.313003247,0.185138393,0.017729247,0.018906028,2.786092381,5.799880942,0.289970003,2.774178605,0.533029180,0.014329271,0.002572551,0.025329975,0.021230089,0.001565978,0.086477385,0.046812594,0.358139052,0.021652319,1.853447713,0.005023201,0.269007063,0.990462087
5,0,1.0,O,NE,1,5,57.842416311,0.347826087,0.285103350,3.180000000,41.798827852,10.679098233,72.752289441,12.278991408,229.941304671,33.788165596,4.055749924,17.208708301,27.682635410,-25.851009581,0.010765328,17.208708301,0.000000000,0.000000000,0.000000000,0.000000000,0.010772234,0.010795851,,0.519333947,,,,,7.445113133,0.134191292,0.017667743,0.024729211,3.099793808,8.793034618,0.282903283,3.203053506,0.680035511,0.018860173,0.004829242,0.025219775,0.024162572,0.002049639,0.107072122,0.105888069,0.527673596,0.052755975,2.021415040,0.012149720,0.377917074,1.104330700
6,1,0.0,O,NE,1,1,73.831684227,0.405213270,0.332142025,3.120000000,52.474718105,3.362230495,67.446666673,4.699010188,203.630496454,25.955718847,5.198301559,16.618262801,26.726771327,-24.706063179,0.010779363,16.618262801,0.000000000,0.000000000,0.000000000,0.000000000,0.010776903,0.010793333,,0.598051739,,,,,0.495991051,0.100788476,0.016234968,0.030526252,2.765450969,1.165192148,0.184384888,3.349433153,0.349586051,0.030328809,0.005783535,0.018926355,0.033887096,0.002184871,0.088786645,0.039057414,0.721190648,0.055942327,1.210230043,0.009649485,0.328860046,0.810900043
7,0.75,0.3,O,NE,1,2,69.834367248,0.400476476,0.328259407,3.035000000,47.083810131,4.397885834,60.172478028,5.416484944,183.237109478,23.800400081,4.428712358,14.489041193,23.302813919,-24.988475768,0.010775013,14.489041193,0.000000000,0.000000000,0.000000000,0.000000000,0.010777612,0.010787964,,0.572932220,,,,,1.323790708,0.293547545,0.026165151,0.028344330,2.780547581,1.896534585,0.368347809,3.151602550,0.427755529,0.027771931,0.004326884,0.016668366,0.027311066,0.002016877,0.102838531,0.106144068,0.678490991,0.074047868,1.087951566,0.000000000,0.267887376,0.964184714
8,0.5,0.5,O,NE,1,3,65.837050269,0.395739682,0.324376789,2.950000000,31.578648261,3.658363117,59.159364881,5.997983755,173.670535918,22.820457858,3.344007117,13.076437735,21.031298748,-25.351642637,0.010769854,13.076437735,0.000000000,0.000000000,0.000000000,0.000000000,0.010777915,0.010789027,,0.567764262,,,,,1.491467036,0.323466589,0.014931392,0.024653068,1.843429492,2.376929319,0.462095128,3.158959309,0.317997028,0.037761873,0.009590173,0.021215891,0.028469657,0.002101246,0.107934893,0.148670649,0.910827452,0.107176112,1.440196150,0.000000000,0.257475135,1.117469386
9,0.25,0.8,O,NE,1,4,61.839733290,0.391002888,0.320494171,2.865000000,32.091106258,6.205954255,56.661350526,8.041193376,158.504093768,21.384713267,3.125481227,11.281695460,18.145077256,-25.950635468,0.010761323,11.281695460,0.000000000,0.000000000,0.000000000,0.000000000,0.010775870,0.010791041,,0.546559155,,,,,3.104146360,0.505554042,0.023877398,0.018724784,2.596253852,4.133962171,0.681495757,3.225735448,0.291518038,0.040346713,0.006598465,0.022348864,0.020085402,0.002209571,0.108414875,0.131361803,0.969162619,0.122670295,1.504162073,0.000000000,0.252241157,1.038637269
10,0,1.0,O,NE,1,5,57.842416311,0.386266094,0.316611553,2.780000000,24.936983976,7.429558593,53.251650840,9.956866482,160.830524949,21.732622730,3.226241227,8.688406907,14.972154612,-26.254213094,0.010754086,8.688406907,0.000000000,0.000000000,0.000000000,0.000000000,0.010779095,0.010790188,,0.589324569,,,,,5.644620414,0.838644778,0.034062656,0.022159265,0.946293402,6.520237703,0.870206678,2.566422101,0.356499555,0.049255204,0.015382545,0.019499389,0.021597505,0.002176706,0.085145180,0.239061473,1.343753643,0.222879260,1.535008876,0.004533230,0.247613096,1.069294203
11,1,0.0,O,NE,1,1,73.831684227,0.416452442,0.341354461,3.250000000,39.740544063,2.763375362,63.939508556,4.675907963,239.270889120,31.265630335,4.724900867,14.822226762,28.603607015,-22.413758777,0.010804596,14.822226762,0.000000000,0.000000000,0.000000000,0.000000000,0.010772099,0.010776483,,0.767220905,,,,,1.331555697,0.115842000,0.015418454,0.031506385,1.315977666,1.602132498,0.199900635,2.873874830,0.321166264,0.066614767,0.022386061,0.023594374,0.033792751,0.001404138,0.064987114,0.137744431,1.408129249,0.229730068,1.510277439,0.011851619,0.244520979,1.016739459
12,0.75,0.3,O,NE,1,2,69.834367248,0.397798515,0.326064357,3.135000000,27.814628243,2.761614189,66.411171238,5.069424384,211.677562014,29.878102133,5.495673051,14.007017883,27.032353173,-23.586570011,0.010790513,14.007017883,0.000000000,0.000000000,0.000000000,0.000000000,0.010771527,0.010780445,,0.697230948,,,,,1.273597666,0.136816525,0.011784263,0.033188213,1.351199999,1.874276936,0.246050838,2.949096609,0.366039885,0.078094733,0.015077194,0.030259230,0.027934157,0.001637474,0.126159716,0.127342943,1.699738456,0.366857391,2.063511113,0.000000000,0.227202070,0.859075225
13,0.5,0.5,O,NE,1,3,65.837050269,0.379144588,0.310774253,3.020000000,33.148387248,3.669199227,67.999382452,7.977577070,224.530609806,27.504237476,5.148596756,13.507304467,26.069787776,-24.445562535,0.010779960,13.507304467,0.000000000,0.000000000,0.000000000,0.000000000,0.010771486,0.010784446,,0.679041594,,,,,1.892076194,0.184200669,0.012675748,0.024610286,1.592922365,4.028987690,0.330275014,3.618314366,0.389262396,0.061446413,0.020411667,0.027968611,0.030385016,0.001294968,0.108236611,0.149591538,1.330718478,0.213042960,1.825795780,0.000000000,0.166209234,0.815279605
14,0.25,0.8,O,NE,1,4,61.839733290,0.360490662,0.295484149,2.905000000,29.960566892,5.057210303,70.857451003,7.467619424,205.590666837,28.545802867,5.722245107,12.627693149,24.373745062,-24.993275494,0.010772441,12.627693149,0.000000000,0.000000000,0.000000000,0.000000000,0.010774892,0.010790794,,0.648992182,,,,,2.738824027,0.285042543,0.013878046,0.023941056,2.033343733,3.126288636,0.326107994,4.015222794,0.398438934,0.033536460,0.006564959,0.020018643,0.020481241,0.001121217,0.116367137,0.099148725,0.840369791,0.132581853,1.485815670,0.000000000,0.181753219,0.648856247
15,0,1.0,O,NE,1,5,57.842416311,0.341836735,0.280194045,2.790000000,25.069755999,4.612256874,74.183578079,8.359137635,184.786608118,26.725641003,4.922059707,10.598578709,20.458419359,-24.889099884,0.010770683,10.598578709,0.000000000,0.000000000,0.000000000,0.000000000,0.010777309,0.010792396,,0.633405210,,,,,2.709960433,0.253979183,0.010705713,0.024513115,1.648317257,3.240845707,0.381096147,4.737195781,0.373923098,0.024446267,0.005981604,0.025107297,0.021191993,0.000967984,0.141133451,0.169962554,0.737195790,0.071266296,2.212096464,0.010390177,0.191041005,0.732067926
