Vzorek,Plesne,Certovo,horizont,znaceni,cas,ID,CPcr,Dwpuvodni,DWovlhceni,pH,DOC,TN,DOC2,TN2,Cmic,Nmic,Pmic,CCO2,CCO2c,deltaCO2,CO2atm,CCO2.s,CCO2.g,CCO2.g2,Gl,Glcorrected,DOCatm,Cmicatm,Cmicg,CUE,Cmicg2,DOCg,DOCg2,Glfound,NH4,NO3,PO4,DOP,DON,NH42,NO32,DON2,PO42,BG,CELL,PH,ALA,CHIT,PHO,PER,bg,cell,phos,ala,chit,Sorption
15,0,1.0,O,NE,0,5,57.842416311,0.341836735,0.280194045,2.790000000,64.105389489,7.106194893,84.505258889,10.256479316,187.897602089,23.742086143,6.233228265,10.598578709,,,,,,,0.000000000,0.000000000,0.010778947,0.010785937,,0.633405210,,,,,2.811857799,0.275122887,0.027657386,0.037181542,4.019214207,2.694845658,0.412684330,7.148949329,0.767120582,0.028147424,0.009778176,0.019547114,0.022134798,0.000964038,0.159119354,0.128397035,0.818664036,0.135653514,1.647058520,0.000000000,0.164284971,0.732067926
16,1,0.0,O,NE,0,1,73.831684227,0.301181102,0.246869756,3.050000000,67.126247996,3.878830844,90.810722969,6.938554851,293.509028905,34.413474148,9.612820648,18.635605593,,,,,,,0.000000000,0.000000000,0.010768014,0.010786401,,0.594465164,,,,,0.869704683,0.131843529,0.038715299,0.072852776,2.877282632,1.341180228,0.236508787,5.360865837,0.923174983,0.009191131,0.002372831,0.013389546,0.033621897,0.001454369,0.086538803,0.146412695,0.265843646,0.013404318,1.183114875,0.014150434,0.337703416,0.635717561
17,0.75,0.3,O,NE,0,2,69.834367248,0.323881372,0.265476535,3.047500000,41.721276770,4.652858832,88.085595920,8.729000308,264.733455634,30.746428854,6.977992024,16.697069457,,,,,,,0.000000000,0.000000000,0.010766439,0.010791831,,0.574060400,,,,,2.612838816,0.130668827,0.019460439,0.043269581,1.909351188,3.607821889,0.288761977,4.832416442,0.864574164,0.012591508,0.002503608,0.016533066,0.028107666,0.002137614,0.079746827,0.096277489,0.347227058,0.025646081,1.301144967,0.000000000,0.325090691,0.797761357
18,0.5,0.5,O,NE,0,3,65.837050269,0.346581642,0.284083314,3.045000000,58.069242821,8.023980414,85.041919057,10.688925327,204.964986437,26.190907246,5.412221244,15.026880462,,,,,,,0.000000000,0.000000000,0.010765044,0.010793331,,0.649175561,,,,,5.009538648,0.163567542,0.031143229,0.044993887,2.850874224,5.059957317,0.285426618,5.343541392,0.722399332,0.026952326,0.006598644,0.023215991,0.027355300,0.003565731,0.081568541,0.083945147,0.731170901,0.071553631,1.840825877,0.000000000,0.595519976,0.968564276
19,0.25,0.8,O,NE,0,4,61.839733290,0.369281913,0.302690092,3.042500000,51.528783691,9.339403937,79.414202640,12.418267415,190.652285374,22.826483722,5.798348599,12.998517394,,,,,,,0.000000000,0.000000000,0.010769448,0.010792091,,0.687120601,,,,,7.201189669,0.172849303,0.038936190,0.042445293,1.965364965,7.107022563,0.269767535,5.041477317,0.758281024,0.020665934,0.003368213,0.017343475,0.020402623,0.002117879,0.070818802,0.056320468,0.513650030,0.049415207,1.253214978,0.000000000,0.333380864,0.832797853
20,0,1.0,O,NE,0,5,57.842416311,0.391982183,0.321296871,3.040000000,47.119352689,9.927090710,77.392815313,13.405254672,180.071984683,21.486795795,4.456846378,11.177893336,,,,,,,0.000000000,0.000000000,0.010767069,0.010789766,,0.640175432,,,,,7.561699289,0.199494858,0.040299223,0.036252561,2.165896563,8.250526745,0.300353060,4.854374868,0.689154862,0.034517355,0.011564974,0.019556732,0.021538124,0.002743815,0.061314132,0.082552683,0.832903759,0.139759763,1.417640833,0.000000000,0.394786488,0.863454787
21,1,0.0,A,NE,0,6,73.831684227,0.334685598,0.301518557,2.620000000,47.283002695,3.085854980,51.584750713,4.564570268,142.150641148,17.011203167,7.537288560,12.406679048,,,,,,,0.000000000,0.000000000,0.010785042,0.010803620,,0.441842607,,,,,0.316740744,0.165235455,0.041871788,0.045774870,2.603878781,0.324000372,0.190801973,4.049767923,0.379718082,0.076141536,0.015084694,0.008331349,0.023201372,0.001529418,0.135790277,0.516690777,1.001035117,0.204864965,0.600424553,0.008610830,0.182103093,0.618199313
22,0.75,0.3,A,NE,0,7,69.834367248,0.344686655,0.310528518,2.625000000,34.220350285,1.933453906,51.757347673,4.652793671,116.514752248,14.090319734,8.532595714,12.765354067,,,,,,,0.000000000,0.000000000,0.010777345,0.010806138,,0.504997188,,,,,0.189863036,0.152625976,0.029530829,0.033676782,1.590964895,0.394590248,0.243190184,4.015013239,0.629573651,0.035345927,0.014510533,0.010267817,0.024580291,0.003411794,0.113602493,0.724555608,0.912357995,0.182474097,0.692067762,0.000000000,0.185908521,0.460535079
23,0.5,0.5,A,NE,0,8,65.837050269,0.354687712,0.319538480,2.630000000,43.027032896,2.688455408,45.756803957,3.853255435,116.611657134,15.245935651,5.327380273,11.228677410,,,,,,,0.000000000,0.000000000,0.010779823,0.010805342,,0.395612737,,,,,0.310047452,0.218686207,0.031224401,0.031273724,2.159721749,0.405801780,0.255990187,3.191463468,0.292389924,0.117492472,0.023455818,0.015682621,0.023065428,0.003688541,0.146167711,0.983481594,1.586615621,0.362499571,1.261644209,0.026977391,0.562941406,0.666374495
24,0.25,0.8,A,NE,0,9,61.839733290,0.364688769,0.328548441,2.635000000,38.907294336,2.740734219,47.279242976,4.494930125,98.339660300,12.872576111,5.787501953,11.030585515,,,,,,,0.000000000,0.000000000,0.010782697,0.010811386,,0.394861787,,,,,0.390617901,0.182708373,0.025257625,0.028529332,2.167407945,0.564563803,0.275040190,3.655326131,0.225195973,0.038890115,0.018394157,0.013088374,0.023201184,0.002930205,0.134942452,0.968327103,0.910176733,0.194563206,0.890278012,0.000965865,0.406018745,0.543746758
25,0,1.0,A,NE,0,10,57.842416311,0.374689826,0.337558402,2.640000000,30.962169268,2.458241708,45.239445976,4.273456188,95.295554342,13.011098771,4.940455806,10.807720789,,,,,,,0.000000000,0.000000000,0.010785854,0.010807858,,0.367010435,,,,,0.576842577,0.196439426,0.022479039,0.036161329,1.684959705,0.672137196,0.293919055,3.307399937,0.204786117,0.038194467,0.020086766,0.013779128,0.023287842,0.002948723,0.130864405,1.034200333,0.890942786,0.215166331,0.927882325,0.005073916,0.403347358,0.521848948
