CP,u0
41.65084139,1.8310027
83.55177604,-0.323485006
92.97551298,-0.988161965
109.7079977,-0.219509407
91.99241253,-0.150624974
74.89799626,-0.512916531
24.72080554,2.02432054
54.1392059,1.261602008
88.73406665,0.177755499
51.01748596,1.014059675
31.86654234,1.635848537
60.64395177,-0.339560262
37.91839727,0.940977703
67.77329171,0.160849739
