ID,Plesne,Certovo,Horizon,Labelling,TIME,DW_origin,DW_target,pH,DOC,TN,DOC2,TN2,Cmic,Nmic,Pmic,CCO2,CO2atm,CCO2.s,CCO2.g,CCO2.g2,Gl,DOCatm,Cmicatm,Cmicg,CUE,Cmicg2,DOCg,DOCg2,Glfound,NH4,NO3,PO4,DOP,DON,NH42,NO32,DON2,PO42,BG,CELL,PH,ALA,CHIT,PHO,PER,Sorption
1,1,0.0,Litter,NO,0,0.405213270142180,0.332142024706705,3.370000000000000,66.713783990923800,4.428138472519630,88.033645692288200,7.913077325719730,942.324991355653000,84.543567305571100,13.724804376258900,20.048980896166000,,,,,0.000000000000000,0.010771116588817,0.010784255815424,,0.845496094811250,,,,,1.925081382972060,0.232092865997971,0.036747412606427,0.039222959989987,2.270964223549600,2.587119119871220,0.309886956267662,5.016071249580850,0.525192066926283,0.035681084341736,0.009638274217275,0.028871170841767,0.043362669290571,0.001372788233304,0.072960404276134,0.093069905699681,1.025498582994430
2,0.75,0.3,Litter,NO,0,0.390866474345765,0.320382356021119,3.322500000000000,60.898040789402600,6.252677909941950,82.764044577611200,10.048218599141400,734.624996124525000,66.374547249685200,13.891851301657100,20.179789552456400,,,,,0.000000000000000,0.010779529877587,0.010780732627573,,0.792134017202072,,,,,3.238902975351800,0.209421433266659,0.025599054237001,0.029327358513507,2.804353501323490,3.800479173352680,0.303883866995451,5.943855558793220,0.559640269133705,0.027228666058615,0.005826696411914,0.020274492431248,0.038688911863777,0.001847710239059,0.084218307298293,0.117484170929567,0.994841648687860
3,0.5,0.5,Litter,NO,0,0.376519678549351,0.308622687335533,3.275000000000000,59.009725998162000,7.552493391494010,83.986767499299600,10.384837416816900,725.214099844110000,68.903663600627400,16.600602777418600,19.797133873686300,,,,,0.000000000000000,0.010780098781415,0.010786946984537,,0.793595355210698,,,,,5.004389827292410,0.167676431499538,0.029190070866404,0.110271250136121,2.380427132702060,5.258949632722970,0.286321961650245,4.839565822443670,0.659709845409933,0.019028993401197,0.005089344051758,0.022093882703087,0.035752491693648,0.001813430324288,0.099303079418815,0.126492281846762,0.806520480804649
4,0.25,0.8,Litter,NO,0,0.362172882752937,0.296863018649948,3.227500000000000,50.997596978219300,9.157257507908470,93.494310639556600,14.672097455661300,664.255267023671000,61.962142431018600,13.309256861901600,18.400956016929700,,,,,0.000000000000000,0.010774630714868,0.010787959234471,,0.765754882082978,,,,,6.116299286767290,0.190908940706550,0.036981252197486,0.045956084377828,2.850049280434630,7.871667724783600,0.294778792577117,6.505650938300630,0.718588826871614,0.023413839013458,0.003745404722063,0.029116619926188,0.023410186405693,0.002144949904075,0.108678849985107,0.110547025938680,0.990462086644065
5,0,1.0,Litter,NO,0,0.347826086956522,0.285103349964362,3.180000000000000,53.889627185678600,9.547485099928620,89.485777957551700,15.407463597430400,586.179493500391000,57.229730086974900,12.686583054212800,17.208708300883500,,,,,0.000000000000000,0.010774762811434,0.010790710223628,,0.739805597833572,,,,,7.470148822269810,0.154219842969308,0.041337988375848,0.039700700526921,1.923116434689510,8.897349988103740,0.270886152748037,6.239227456578630,0.725497495434601,0.018400595438101,0.004531895745308,0.019268227707249,0.022976316203563,0.001769918370110,0.112062051017279,0.080515530404497,1.104330699782750
6,1,0.0,Litter,NO,0,0.405213270142180,0.332142024706705,3.120000000000000,56.260103578402100,2.840021546848330,80.117030792573200,5.700458669872400,562.492390818355000,45.756360358338100,16.860693382063700,16.618262801153300,,,,,0.000000000000000,0.010772890487073,0.010793164110910,,0.796561067456361,,,,,0.676507724223717,0.120559349837835,0.036164120342833,0.057196293476301,2.042954472786770,1.233244068216380,0.244127310901570,4.223087290754450,0.627628909701379,0.024037773948069,0.006129290183526,0.016280142440777,0.035502443620439,0.001734639136622,0.103378727345126,0.035354939294930,0.810900042848444
7,0.75,0.3,Litter,NO,0,0.400476476211785,0.328259406730971,3.035000000000000,51.903215013800300,4.610979607500900,78.633933479243000,7.609187257309960,542.613826949641000,43.081021629373400,12.927410562454300,14.489041193339800,,,,,0.000000000000000,0.010774187702845,0.010795180997072,,0.779268513971350,,,,,1.956548749536350,0.221791478609366,0.032952352248896,0.049498615745038,2.432639379355180,2.569881916854150,0.323554627618370,4.715750712837450,0.561017828137471,0.030054618026850,0.004225976784814,0.021693278436542,0.028984256168385,0.002389790660853,0.125095730162725,0.069269104870692,0.964184714381291
8,0.5,0.5,Litter,NO,0,0.395739682281391,0.324376788755238,2.950000000000000,47.929736222474500,5.552953140365750,72.838920069198000,7.951116830416520,465.498869775522000,39.855908508728800,10.427239473922900,13.076437735189500,,,,,0.000000000000000,0.010774233532064,0.010796720895551,,0.775619570472785,,,,,2.516878128806780,0.376277461117292,0.035934882278482,0.049071602163427,2.659797550441680,3.080340790854150,0.593242125831708,4.277533913730660,0.332981181079664,0.030577243391293,0.007402225606863,0.016743725689103,0.028961792174998,0.001841141524972,0.094331527609077,0.149339675055421,1.117469385914140
9,0.25,0.8,Litter,NO,0,0.391002888350996,0.320494170779505,2.865000000000000,34.325374482008400,5.241615487266020,68.195688284150500,9.403305181676440,442.549311361556000,36.904042813225700,11.062540284023700,11.281695459506100,,,,,0.000000000000000,0.010775124749966,0.010789633883554,,0.760306706548977,,,,,3.349128495145900,0.394198526160942,0.033952250044430,0.035600666913903,1.498288465959170,4.707814262716060,0.573703617734795,4.121787301225580,0.296573263891889,0.033552400635669,0.005208566787407,0.020513592996311,0.021584240605640,0.001797922516624,0.113831853653551,0.118421240278122,1.038637269125820
10,0,1.0,Litter,NO,0,0.386266094420601,0.316611552803771,2.780000000000000,41.084235340919600,7.788011602823380,64.012752429952900,10.321192259497200,376.954455790156000,31.979385682772200,9.501284232569060,8.688406907371570,,,,,0.000000000000000,0.010775268499356,0.010797183947470,,0.790635104763241,,,,,4.697763407090170,0.746213498294869,0.049666207440893,0.033229462431141,2.344034697438340,4.810634774103150,0.688951193591879,4.821606291802150,0.336030681126057,0.041562654466094,0.012220809278322,0.016525073300032,0.022193257500808,0.001477657564784,0.110658265120335,0.184988939268876,1.069294203432390
11,1,0.0,Litter,NO,0,0.416452442159383,0.341354460786379,3.250000000000000,42.570042115109800,2.980840488716170,66.848554207585400,5.958126259021340,659.330894800284000,58.597867941345700,14.029626762095900,14.822226761507100,,,,,0.000000000000000,0.010767171087264,0.010781362497986,,0.896624473900485,,,,,1.250006274178060,0.135288400701439,0.032634150133343,0.051787198842738,1.595545813836680,2.166008418443030,0.098277509010319,3.693840331567990,0.473047846360801,0.084577097746338,0.033308264983573,0.031039777550731,0.034210002624469,0.002363074594335,0.089781112455149,0.167765648245928,1.016739458906840
12,0.75,0.3,Litter,NO,0,0.397798515293007,0.326064356797547,3.135000000000000,53.478355265001100,3.954654285177190,67.649808578448900,6.288306384877250,649.924235349842000,58.981502482852100,16.486569421347600,14.007017883145300,,,,,0.000000000000000,0.010768873084895,0.010781591134179,,0.858359447069380,,,,,1.770515283745990,0.171184835792453,0.031193637522223,0.038824500693186,2.012954165638750,2.250066324167130,0.242110522233316,3.796129538476810,0.684047387040311,0.076797786150944,0.016568398176255,0.030479334864785,0.030521368573943,0.001827220929106,0.091328992357349,0.196338834586235,0.859075225330196
13,0.5,0.5,Litter,NO,0,0.379144588426630,0.310774252808713,3.020000000000000,57.181189040958200,4.700447358495310,75.250557083730700,7.471381230453800,639.299845579691000,60.129345408324800,15.509238431418200,13.507304467471700,,,,,0.000000000000000,0.010678034783030,0.010815110137854,,0.847736188709711,,,,,2.029882179980040,0.217733458545042,0.024728098428703,0.034952418482035,2.452831719970220,2.438859724124770,0.314197649039680,4.718323857289350,0.696849199517074,0.082628168613916,0.026913916256070,0.038936395697177,0.027711578028575,0.001814016392409,0.169143951533684,0.129185643262056,0.815279604892240
14,0.25,0.8,Litter,NO,0,0.360490661560254,0.295484148819880,2.905000000000000,46.670607209236500,4.706946161305220,78.923594144551100,9.242625235372980,595.301969917434000,54.449746274206800,17.157627844588900,12.627693148614200,,,,,0.000000000000000,0.010765658404642,0.010791084267759,,0.829515328312904,,,,,2.047958202537560,0.209192239136297,0.020653155295433,0.033145308272568,2.449795719631360,3.009533922231810,0.406789527373585,5.826301785767590,0.721942104729510,0.038175052198963,0.008316561762742,0.020342173434014,0.020772069883928,0.000909445254841,0.141419536141909,0.152925681015701,0.648856247228006
15,0,1.0,Litter,NO,0,0.341836734693878,0.280194044831048,2.790000000000000,64.105389488858700,7.106194892773810,84.505258889145000,10.256479316479700,494.467373917308000,43.966826191037000,15.583070661847800,10.598578708567900,,,,,0.000000000000000,0.010778946794229,0.010785937332816,,0.819717877859832,,,,,2.811857798800430,0.275122886637476,0.027657386300657,0.037181542350641,4.019214207335910,2.694845657508310,0.412684329956214,7.148949329015160,0.767120582224926,0.028147423975678,0.009778176373577,0.019547113593895,0.022134797616944,0.000964037860876,0.159119353654746,0.128397035448485,0.732067926060123
16,1,0.0,Litter,NO,0,0.301181102362205,0.246869756034594,3.050000000000000,67.126247995951000,3.878830844448170,90.810722968652100,6.938554851110080,772.392181329115000,63.728655829230100,24.032051620934400,18.635605593022300,,,,,0.000000000000000,0.010768014108740,0.010786401147271,,0.794136064144696,,,,,0.869704683396080,0.131843529131852,0.038715299013804,0.072852775509084,2.877282631920240,1.341180227630740,0.236508786907578,5.360865836571760,0.923174982693950,0.009191131265301,0.002372830633193,0.013389546090134,0.033621897189240,0.001454368856768,0.086538802919181,0.146412694870910,0.635717561096619
17,0.75,0.3,Litter,NO,0,0.323881372428669,0.265476534777598,3.047500000000000,41.721276769813600,4.652858831516820,88.085595919996500,8.729000307649310,696.666988511354000,56.937831211543500,17.444980059899000,16.697069456999100,,,,,0.000000000000000,0.010766439322473,0.010791830949085,,0.780060863689164,,,,,2.612838815675970,0.130668827373793,0.019460439177240,0.043269580633533,1.909351188467060,3.607821889409750,0.288761976542086,4.832416441697470,0.864574164495169,0.012591508338311,0.002503607998376,0.016533066416292,0.028107665883972,0.002137613689387,0.079746827254519,0.096277489074912,0.797761356717057
18,0.5,0.5,Litter,NO,0,0.346581642495134,0.284083313520601,3.045000000000000,58.069242821056600,8.023980413923190,85.041919057126800,10.688925326646500,539.381543254088000,48.501680084763100,13.530553109589000,15.026880462488500,,,,,0.000000000000000,0.010765043718709,0.010793331196938,,0.829629153974184,,,,,5.009538647987370,0.163567542373346,0.031143228525016,0.044993886756834,2.850874223562480,5.059957316962660,0.285426617720616,5.343541391963250,0.722399331739556,0.026952325951959,0.006598644468459,0.023215990950487,0.027355300260092,0.003565730781847,0.081568541019473,0.083945146896040,0.968564276425087
19,0.25,0.8,Litter,NO,0,0.369281912561598,0.302690092263605,3.042500000000000,51.528783691325100,9.339403936603790,79.414202639765400,12.418267415117300,501.716540458912000,42.271266152393100,14.495871497721400,12.998517393776600,,,,,0.000000000000000,0.010769448300720,0.010792090607149,,0.852491324376454,,,,,7.201189668505800,0.172849303392978,0.038936190076807,0.042445292681881,1.965364964705010,7.107022562791940,0.269767534899818,5.041477317425560,0.758281024436465,0.020665933676232,0.003368213091337,0.017343474552659,0.020402622504096,0.002117879409903,0.070818801819904,0.056320468271641,0.832797853067422
20,0,1.0,Litter,NO,0,0.391982182628062,0.321296871006608,3.040000000000000,47.119352689047000,9.927090710369230,77.392815312722300,13.405254671987600,473.873643901671000,39.790362583724500,11.142115944070300,11.177893335657000,,,,,0.000000000000000,0.010767068691675,0.010789766392573,,0.824003356152975,,,,,7.561699289468570,0.199494857569269,0.040299222854962,0.036252561025631,2.165896563331390,8.250526744965730,0.300353059502953,4.854374867518870,0.689154861941588,0.034517354971211,0.011564973980557,0.019556732352014,0.021538123767290,0.002743814824340,0.061314132124671,0.082552682906619,0.863454787373992
