Time,CO2,Gl,DNA,CLC,Glinit,DNAinit,CLCinit,DOCinit
1.07,0.2553634,49.958368,1.0616153,5.166424952,49.95836803,1.0616153,5.166425,2.06657
1.83,0.1779806,,,,49.95836803,1.0616153,5.166425,2.06657
3.11,0.2398868,,,,49.95836803,1.0616153,5.166425,2.06657
4.39,0.2476251,,,,49.95836803,1.0616153,5.166425,2.06657
5.92,0.2631017,39.9075569,1.0536031,14.90899026,49.95836803,1.0616153,5.166425,2.06657
7.19,0.27084,,,,49.95836803,1.0616153,5.166425,2.06657
8.98,0.2940548,,,,49.95836803,1.0616153,5.166425,2.06657
10,0.3172697,30.7460254,1.0976702,13.29534073,49.95836803,1.0616153,5.166425,2.06657
11.02,0.3559611,,,,49.95836803,1.0616153,5.166425,2.06657
12.05,0.3869143,,,,49.95836803,1.0616153,5.166425,2.06657
13.33,0.4256057,,,,49.95836803,1.0616153,5.166425,2.06657
14.35,0.4642971,,,,49.95836803,1.0616153,5.166425,2.06657
15.12,0.5184651,30.4392953,1.1417372,,49.95836803,1.0616153,5.166425,2.06657
16.15,0.5881097,,,,49.95836803,1.0616153,5.166425,2.06657
17.18,0.6654925,,,,49.95836803,1.0616153,5.166425,2.06657
18.21,0.7506136,,,,49.95836803,1.0616153,5.166425,2.06657
19.24,0.8512114,19.7245225,1.3340298,14.42200547,49.95836803,1.0616153,5.166425,2.06657
21.06,1.1375279,,,,49.95836803,1.0616153,5.166425,2.06657
22.1,1.330985,,,,49.95836803,1.0616153,5.166425,2.06657
23.14,1.5089656,,,,49.95836803,1.0616153,5.166425,2.06657
24.18,1.710161,,,,49.95836803,1.0616153,5.166425,2.06657
24.93,1.5863484,0.4658339,1.6224687,10.92292954,49.95836803,1.0616153,5.166425,2.06657
25.9,1.1762193,,,,49.95836803,1.0616153,5.166425,2.06657
27.13,0.7738285,,,,49.95836803,1.0616153,5.166425,2.06657
28.37,0.5339417,,,,49.95836803,1.0616153,5.166425,2.06657
29.12,0.4023908,,,,49.95836803,1.0616153,5.166425,2.06657
29.87,0.325008,0.4697917,1.6024382,10.20710699,49.95836803,1.0616153,5.166425,2.06657
31.14,0.27084,,,,49.95836803,1.0616153,5.166425,2.06657
32.16,0.2553634,,,,49.95836803,1.0616153,5.166425,2.06657
32.92,0.216672,,,,49.95836803,1.0616153,5.166425,2.06657
33.94,0.2089337,,,,49.95836803,1.0616153,5.166425,2.06657
34.95,0.1934571,,,,49.95836803,1.0616153,5.166425,2.06657
35.97,0.1779806,,,,49.95836803,1.0616153,5.166425,2.06657
36.99,0.1702423,,,,49.95836803,1.0616153,5.166425,2.06657
38.26,0.162504,,,,49.95836803,1.0616153,5.166425,2.06657
39.79,0.1547657,,,,49.95836803,1.0616153,5.166425,2.06657
40.55,0.1470274,,,,49.95836803,1.0616153,5.166425,2.06657
41.57,0.1470274,,,,49.95836803,1.0616153,5.166425,2.06657
42.59,0.1315508,,,,49.95836803,1.0616153,5.166425,2.06657
43.61,0.1315508,,,,49.95836803,1.0616153,5.166425,2.06657
44.88,0.1315508,,,,49.95836803,1.0616153,5.166425,2.06657
46.41,0.1238126,0.4820609,1.6665357,10.25926929,49.95836803,1.0616153,5.166425,2.06657
